nom_commune,codes_postaux,code_insee,latitude,longitude
Attignat,1340,1024,46.283333,5.166667
Beaupont,1270,1029,46.4,5.266667
Bény,1370,1038,46.333333,5.283333
Béreyziat,1340,1040,46.366667,5.05
Bohas-Meyriat-Rignat,1250,1245,46.133333,5.4
Bourg-en-Bresse,1000,1053,46.2,5.216667
Buellas,1310,1065,46.2,5.133333
Certines,1240,1069,46.133333,5.266667
Ceyzériat,1250,1072,46.166667,5.316667
Chavannes-sur-Suran,1250,1095,46.266667,5.416667
Cize,1250,1106,46.2,5.433333
Coligny,1270,1108,46.383333,5.35
Confrançon,1310,1115,46.266667,5.066667
Cormoz,1560,1124,46.45,5.233333
Corveissiat,1250,1125,46.233333,5.483333
Courmangoux,1370,1127,46.333333,5.366667
Courtes,1560,1128,46.466667,5.1
Cras-sur-Reyssouze,1340,1130,46.3,5.166667
Curciat-Dongalon,1560,1139,46.466667,5.15
Curtafond,1310,1140,46.266667,5.083333
Dompierre-sur-Veyle,1240,1145,46.066667,5.2
Domsure,1270,1147,46.416667,5.3
Drom,1250,1150,46.216667,5.366667
Druillat,1160,1151,46.066667,5.316667
Etrez,1340,1154,46.333333,5.183333
Foissiat,1340,1163,46.366667,5.183333
Germagnat,1250,1172,46.316667,5.45
Grand-Corent,1250,1177,46.2,5.433333
Hautecourt-Romanèche,1250,1184,46.158333,5.416667
Jasseron,1250,1195,46.216667,5.333333
Jayat,1340,1196,46.366667,5.116667
Journans,1250,1197,46.15,5.333333
La Tranclière,1160,1425,46.116667,5.266667
Lent,1240,1211,46.116667,5.2
Lescheroux,1560,1212,46.4,5.15
Malafretaz,1340,1229,46.316667,5.15
Mantenay-Montlin,1560,1230,46.416667,5.083333
Marboz,1851,1232,46.333333,5.25
Marsonnas,1340,1236,46.333333,5.066667
Meillonnas,1370,1241,46.25,5.35
Montagnat,1250,1254,46.166667,5.283333
Montcet,1310,1259,46.2,5.116667
Montracol,1310,1264,46.183333,5.116667
Montrevel-en-Bresse,1340,1266,46.333333,5.133333
Neuville-sur-Ain,1160,1273,46.083333,5.366667
Péronnas,1960,1289,46.183333,5.2
Pirajoux,1270,1296,46.383333,5.3
Polliat,1310,1301,46.25,5.133333
Pont-d'Ain,1160,1304,46.05,5.333333
Pouillat,1250,1309,46.333333,5.433333
Pressiat,1370,1312,46.333333,5.383333
Priay,1160,1314,46,5.283333
Ramasse,1250,1317,46.2,5.35
Revonnas,1250,1321,46.166667,5.333333
Saint-André-sur-Vieux-Jonc,1240,1336,46.15,5.066667
Saint-Denis-lès-Bourg,1000,1344,46.2,5.2
Saint-Didier-d'Aussiat,1340,1346,46.3,5.066667
Saint-Etienne-du-Bois,1370,1350,46.283333,5.283333
Saint-Jean-sur-Reyssouze,1560,1364,46.4,5.066667
Saint-Julien-sur-Reyssouze,1560,1367,46.4,5.116667
Saint-Martin-du-Mont,1160,1374,46.1,5.333333
Saint-Martin-le-Châtel,1310,1375,46.283333,5.116667
Saint-Nizier-le-Bouchoux,1560,1380,46.45,5.15
Saint-Rémy,1310,1385,46.183333,5.166667
Saint-Trivier-de-Courtes,1560,1388,46.466667,5.083333
Salavre,1270,1391,46.366667,5.35
Servas,1240,1405,46.133333,5.166667
Servignat,1560,1406,46.433333,5.066667
Simandre-sur-Suran,1250,1408,46.216667,5.416667
Tossiat,1250,1422,46.133333,5.316667
Vandeins,1660,1429,46.216667,5.083333
Varambon,1160,1430,46.033333,5.316667
Verjon,1270,1432,46.35,5.35
Vernoux,1560,1433,46.483333,5.116667
Vescours,1560,1437,46.466667,5.033333
Villemotier,1270,1445,46.35,5.316667
Villereversure,1250,1447,46.183333,5.383333
Viriat,1440,1451,46.25,5.216667
Ambérieu-en-Bugey,1500,1004,45.95,5.35
Ambronay,1500,1007,46,5.35
Ambutrix,1500,1008,45.933333,5.333333
Apremont,1100,1011,46.208333,5.658333
Arbent,1100,1014,46.3,5.683333
Balan,1360,1027,45.833333,5.1
Béligneux,1360,1032,45.866667,5.116667
Belleydoux,1130,1035,46.25,5.766667
Bellignat,1810,1031,46.25,5.616667
Bettant,1500,1041,45.933333,5.366667
Blyes,1150,1047,45.85,5.25
Bolozon,1450,1051,46.2,5.483333
Bourg-Saint-Christophe,1800,1054,45.883333,5.166667
Boyeux-Saint-Jérôme,1640,1056,46.033333,5.466667
Bressolles,1360,1062,45.866667,5.1
Ceignes,1430,1067,46.116667,5.5
Cerdon,1450,1068,46.083333,5.466667
Challes-la-Montagne,1450,1077,46.133333,5.466667
Charix,1130,1087,46.183333,5.683333
Charnoz-sur-Ain,1800,1088,45.866667,5.216667
Château-Gaillard,1500,1089,45.966667,5.3
Chazey-sur-Ain,1150,1099,45.9,5.25
Dagneux,1120,1142,45.85,5.066667
Dortan,1590,1148,46.316667,5.666667
Douvres,1500,1149,45.983333,5.366667
Faramans,1800,1156,45.9,5.116667
Géovreisset,1100,1171,46.25,5.6
Géovreissiat,1460,1170,46.2,5.566667
Groissiat,1810,1181,46.216667,5.6
Izernore,1580,1192,46.216667,5.55
Joyeux,1800,1198,45.95,5.1
Jujurieux,1640,1199,46.033333,5.416667
Labalme,1450,1200,46.1,5.483333
L'Abergement-de-Varey,1640,1002,46,5.416667
La Boisse,1120,1049,45.85,5.033333
Lagnieu,1150,1202,45.9,5.35
Lalleyriat,1130,1204,46.15,5.716667
Le Montellier,1800,1260,45.933333,5.066667
Le Poizat,1130,1300,46.15,5.7
